G1x,G1y,G1z,G2x,G2y,G2z,Vb1,Vb2,Ac1,AC2,Labels
0.025156,0.090382,-0.11395,0.37547,0.093436,0.13909,1.87E-03,3.17E-03,-0.025905,-0.017686,Imbalance
0.022916,0.0020106,0.15842,-0.30165,0.020016,0.1348,3.68E-04,2.71E-03,-0.025248,-0.023275,Imbalance
0.022165,0.010751,-0.092482,0.21419,0.072889,0.132,5.27E-04,3.21E-03,-0.024919,-0.015713,Imbalance
0.018571,0.052114,0.060798,-0.050632,0.071097,0.13064,1.59E-04,3.63E-03,-0.026891,-0.002234,Imbalance
0.019213,0.026972,-0.039182,-0.080883,0.035386,0.12753,6.96E-04,2.85E-03,-0.026234,-0.01933,Imbalance
0.018282,0.10811,0.010832,0.25857,0.08998,0.12968,1.93E-03,2.73E-03,-0.026563,-0.036755,Imbalance
0.019752,0.062851,0.043055,-0.17296,0.0018133,0.12577,5.97E-04,3.55E-03,-0.026563,-0.037741,Imbalance
0.018315,0.13886,-0.082918,0.36672,0.076441,0.12631,-4.68E-04,3.81E-03,-0.029193,-0.013741,Imbalance
0.017974,0.078566,0.094822,-0.37492,-0.017699,0.12315,4.73E-04,3.71E-03,-0.02722,-0.011768,Imbalance
0.015542,0.12789,-0.1174,0.33522,0.055554,0.1219,7.36E-04,2.84E-03,-0.024919,0.003027,Imbalance
0.015343,0.04846,0.15606,-0.25771,-0.029363,0.11918,1.45E-03,2.68E-03,-0.023275,-0.007494,Imbalance
0.014977,0.046957,-0.074643,0.085404,0.0091804,0.11484,6.90E-04,3.49E-03,-0.02459,-0.026563,Imbalance
0.045454,0.12238,0.067758,0.101,0.034076,0.14863,-1.70E-04,3.64E-03,-0.028535,-0.00322,Imbalance
0.045018,0.07951,-0.011437,-0.025996,-0.015111,0.14482,3.73E-04,3.17E-03,-0.032809,0.006643,Imbalance
0.040339,0.11675,-0.035288,0.26151,0.041032,0.14277,9.88E-04,2.86E-03,-0.03544,0.000725,Imbalance
